Disease,Symptoms,Medicine/Remedy
Diabetes (High Sugar Symptoms),"blurred vision, frequent urination, excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
Food Poisoning,"stomach pain, vomiting","ORS, hydration, light diet"
Malaria,"headache, nausea","antimalarial drugs, paracetamol"
Migraine,"dizziness, nausea","ibuprofen, rest in dark room, hydration"
Common Cold,"sore throat, sneezing, runny nose, fatigue","rest, steam inhalation, paracetamol"
Migraine,"sensitivity to light, nausea, headache","ibuprofen, rest in dark room, hydration"
Hypertension (High BP),"fatigue, chest pain, headache, dizziness","blood pressure medication, low-salt diet"
Flu,"fatigue, fever, runny nose","paracetamol, rest, hydration"
Common Cold,"fatigue, cough","rest, steam inhalation, paracetamol"
Common Cold,"fatigue, runny nose, cough","rest, steam inhalation, paracetamol"
Flu,"sore throat, runny nose, fatigue","paracetamol, rest, hydration"
Migraine,"dizziness, nausea","ibuprofen, rest in dark room, hydration"
Food Poisoning,"nausea, fever","ORS, hydration, light diet"
Hypertension (High BP),"dizziness, fatigue","blood pressure medication, low-salt diet"
Asthma,"wheezing, shortness of breath, cough, chest tightness","inhaler, avoid triggers"
Flu,"fever, fatigue, runny nose, sore throat","paracetamol, rest, hydration"
COVID-19,"cough, fever, fatigue","rest, hydration, medical checkup"
Hypertension (High BP),"chest pain, fatigue, dizziness","blood pressure medication, low-salt diet"
Malaria,"fever, sweating","antimalarial drugs, paracetamol"
Flu,"headache, runny nose, sore throat","paracetamol, rest, hydration"
Asthma,"cough, chest tightness","inhaler, avoid triggers"
Malaria,"headache, fever, nausea","antimalarial drugs, paracetamol"
Hypertension (High BP),"dizziness, headache","blood pressure medication, low-salt diet"
Food Poisoning,"fever, stomach pain","ORS, hydration, light diet"
Food Poisoning,"fever, vomiting, nausea","ORS, hydration, light diet"
Migraine,"nausea, dizziness","ibuprofen, rest in dark room, hydration"
Malaria,"nausea, chills, headache","antimalarial drugs, paracetamol"
Hypertension (High BP),"headache, chest pain, dizziness, fatigue","blood pressure medication, low-salt diet"
COVID-19,"loss of taste, cough","rest, hydration, medical checkup"
Malaria,"chills, headache","antimalarial drugs, paracetamol"
Flu,"sore throat, fatigue, cough, headache","paracetamol, rest, hydration"
Diabetes (High Sugar Symptoms),"frequent urination, fatigue, excessive thirst, blurred vision","consult doctor, insulin (if prescribed), diet control"
Common Cold,"fatigue, sneezing","rest, steam inhalation, paracetamol"
Migraine,"headache, dizziness","ibuprofen, rest in dark room, hydration"
Flu,"sore throat, cough","paracetamol, rest, hydration"
Diabetes (High Sugar Symptoms),"frequent urination, excessive thirst","consult doctor, insulin (if prescribed), diet control"
COVID-19,"difficulty breathing, cough, fatigue","rest, hydration, medical checkup"
Common Cold,"sore throat, runny nose","rest, steam inhalation, paracetamol"
Allergy,"sneezing, itchy eyes, rash","antihistamine, avoid allergen"
Malaria,"headache, sweating, fever","antimalarial drugs, paracetamol"
COVID-19,"fever, difficulty breathing, loss of smell, cough","rest, hydration, medical checkup"
Common Cold,"sore throat, cough","rest, steam inhalation, paracetamol"
Food Poisoning,"nausea, fever","ORS, hydration, light diet"
Malaria,"sweating, nausea","antimalarial drugs, paracetamol"
Asthma,"wheezing, chest tightness","inhaler, avoid triggers"
Flu,"headache, sore throat, runny nose","paracetamol, rest, hydration"
Migraine,"nausea, dizziness, sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
Flu,"runny nose, fever, cough","paracetamol, rest, hydration"
COVID-19,"difficulty breathing, fatigue, loss of smell","rest, hydration, medical checkup"
COVID-19,"cough, loss of smell, fatigue, fever","rest, hydration, medical checkup"
Hypertension (High BP),"headache, chest pain, dizziness, fatigue","blood pressure medication, low-salt diet"
COVID-19,"loss of smell, difficulty breathing, fatigue","rest, hydration, medical checkup"
Migraine,"nausea, sensitivity to light, dizziness","ibuprofen, rest in dark room, hydration"
Hypertension (High BP),"fatigue, dizziness, headache","blood pressure medication, low-salt diet"
Asthma,"shortness of breath, chest tightness, cough, wheezing","inhaler, avoid triggers"
Food Poisoning,"stomach pain, diarrhea","ORS, hydration, light diet"
Hypertension (High BP),"headache, chest pain","blood pressure medication, low-salt diet"
Hypertension (High BP),"headache, fatigue, chest pain, dizziness","blood pressure medication, low-salt diet"
